,Exp,Model,Loss,AUROC,AUPR,Accuracy,Dir
0,HNRNPK_K562_200.h5,deepbind,0.24319776892662048,0.9770163297653198,0.9749158620834351,0.9310645461082458,/home/pgarcia/rbp_project/data/HNRNPK_K562_200.h5
1,HNRNPK_K562_200.h5,deepbind_exp,0.20180751383304596,0.9782545566558838,0.9760070443153381,0.933682382106781,/home/pgarcia/rbp_project/data/HNRNPK_K562_200.h5
2,HNRNPK_K562_200.h5,baseline_cnn,0.22965289652347565,0.9806393384933472,0.9797905683517456,0.9345549941062927,/home/pgarcia/rbp_project/data/HNRNPK_K562_200.h5
3,HNRNPK_K562_200.h5,baseline_cnn_exp,0.1961653232574463,0.980351448059082,0.9715607166290283,0.9432809948921204,/home/pgarcia/rbp_project/data/HNRNPK_K562_200.h5
4,PTBP1_K562_200.h5,deepbind,0.2114306390285492,0.976630687713623,0.9800306558609009,0.9150447845458984,/home/pgarcia/rbp_project/data/PTBP1_K562_200.h5
5,PTBP1_K562_200.h5,deepbind_exp,0.17211058735847473,0.9803630709648132,0.9824652671813965,0.9283286929130554,/home/pgarcia/rbp_project/data/PTBP1_K562_200.h5
6,PTBP1_K562_200.h5,baseline_cnn,0.2008175104856491,0.9781838655471802,0.9792109727859497,0.9304912090301514,/home/pgarcia/rbp_project/data/PTBP1_K562_200.h5
7,PTBP1_K562_200.h5,baseline_cnn_exp,0.18351127207279205,0.9777975082397461,0.9816440343856812,0.9252394437789917,/home/pgarcia/rbp_project/data/PTBP1_K562_200.h5
8,PUM2_K562_200.h5,deepbind,0.3025544285774231,0.9499034285545349,0.9514010548591614,0.8772413730621338,/home/pgarcia/rbp_project/data/PUM2_K562_200.h5
9,PUM2_K562_200.h5,deepbind_exp,0.314207524061203,0.9454618096351624,0.9473918676376343,0.869655191898346,/home/pgarcia/rbp_project/data/PUM2_K562_200.h5
10,PUM2_K562_200.h5,baseline_cnn,0.3496057689189911,0.9366639852523804,0.9391579031944275,0.8589655160903931,/home/pgarcia/rbp_project/data/PUM2_K562_200.h5
11,PUM2_K562_200.h5,baseline_cnn_exp,0.3258209526538849,0.9474358558654785,0.9511725902557373,0.8641379475593567,/home/pgarcia/rbp_project/data/PUM2_K562_200.h5
12,QKI_K562_200.h5,deepbind,0.16728298366069794,0.9837662577629089,0.9863852858543396,0.9583333134651184,/home/pgarcia/rbp_project/data/QKI_K562_200.h5
13,QKI_K562_200.h5,deepbind_exp,0.27108946442604065,0.9750213623046875,0.9641232490539551,0.9261695742607117,/home/pgarcia/rbp_project/data/QKI_K562_200.h5
14,QKI_K562_200.h5,baseline_cnn,0.2422594279050827,0.9773951768875122,0.9703770279884338,0.9393274784088135,/home/pgarcia/rbp_project/data/QKI_K562_200.h5
15,QKI_K562_200.h5,baseline_cnn_exp,0.1498638391494751,0.98552006483078,0.9836617708206177,0.9605262875556946,/home/pgarcia/rbp_project/data/QKI_K562_200.h5
16,RBFOX2_K562_200.h5,deepbind,0.3387003242969513,0.9489590525627136,0.9510107040405273,0.8669264912605286,/home/pgarcia/rbp_project/data/RBFOX2_K562_200.h5
17,RBFOX2_K562_200.h5,deepbind_exp,0.36496666073799133,0.9481316804885864,0.9471958875656128,0.8791759610176086,/home/pgarcia/rbp_project/data/RBFOX2_K562_200.h5
18,RBFOX2_K562_200.h5,baseline_cnn,0.32660672068595886,0.9506227374076843,0.9419211745262146,0.8808463215827942,/home/pgarcia/rbp_project/data/RBFOX2_K562_200.h5
19,RBFOX2_K562_200.h5,baseline_cnn_exp,0.3495768904685974,0.9465987682342529,0.9380577802658081,0.8836302757263184,/home/pgarcia/rbp_project/data/RBFOX2_K562_200.h5
20,SF3B4_K562_200.h5,deepbind,0.2807307839393616,0.9531705975532532,0.9505543112754822,0.8821909427642822,/home/pgarcia/rbp_project/data/SF3B4_K562_200.h5
