,Exp,Model,Loss,AUROC,AUPR,Dir
0,HNRNPK_K562_200.h5,deepbind_test,0.2255505472421646,0.9817174673080444,0.9795016050338745,/home/pgarcia/rbp_project/data/HNRNPK_K562_200.h5
1,HNRNPK_K562_200.h5,deepbind_exp_test,0.28959617018699646,0.9721110463142395,0.9595990180969238,/home/pgarcia/rbp_project/data/HNRNPK_K562_200.h5
2,HNRNPK_K562_200.h5,repre_test,0.3157629370689392,0.9748082160949707,0.9705302715301514,/home/pgarcia/rbp_project/data/HNRNPK_K562_200.h5
3,HNRNPK_K562_200.h5,repre_exp_test,0.20796941220760345,0.98287034034729,0.9784730672836304,/home/pgarcia/rbp_project/data/HNRNPK_K562_200.h5
4,PTBP1_K562_200.h5,deepbind_test,0.17915138602256775,0.9808188676834106,0.9816257953643799,/home/pgarcia/rbp_project/data/PTBP1_K562_200.h5
5,PTBP1_K562_200.h5,deepbind_exp_test,0.20078617334365845,0.979641854763031,0.982298731803894,/home/pgarcia/rbp_project/data/PTBP1_K562_200.h5
6,PTBP1_K562_200.h5,repre_test,0.21876294910907745,0.9700009226799011,0.9749177694320679,/home/pgarcia/rbp_project/data/PTBP1_K562_200.h5
7,PTBP1_K562_200.h5,repre_exp_test,0.20979970693588257,0.9753502011299133,0.9768696427345276,/home/pgarcia/rbp_project/data/PTBP1_K562_200.h5
8,PUM2_K562_200.h5,deepbind_test,0.31844407320022583,0.9472323656082153,0.9481689929962158,/home/pgarcia/rbp_project/data/PUM2_K562_200.h5
9,PUM2_K562_200.h5,deepbind_exp_test,0.29996368288993835,0.950309157371521,0.9518930912017822,/home/pgarcia/rbp_project/data/PUM2_K562_200.h5
10,PUM2_K562_200.h5,repre_test,0.33318546414375305,0.945065975189209,0.9476654529571533,/home/pgarcia/rbp_project/data/PUM2_K562_200.h5
11,PUM2_K562_200.h5,repre_exp_test,0.3002224862575531,0.9459503889083862,0.9477730393409729,/home/pgarcia/rbp_project/data/PUM2_K562_200.h5
12,QKI_K562_200.h5,deepbind_test,0.2152552306652069,0.9782010912895203,0.9805539846420288,/home/pgarcia/rbp_project/data/QKI_K562_200.h5
13,QKI_K562_200.h5,deepbind_exp_test,0.24558903276920319,0.9792805314064026,0.9856274127960205,/home/pgarcia/rbp_project/data/QKI_K562_200.h5
14,QKI_K562_200.h5,repre_test,0.20982638001441956,0.979549765586853,0.9809041023254395,/home/pgarcia/rbp_project/data/QKI_K562_200.h5
15,QKI_K562_200.h5,repre_exp_test,0.1346621960401535,0.984551727771759,0.9862572550773621,/home/pgarcia/rbp_project/data/QKI_K562_200.h5
16,RBFOX2_K562_200.h5,deepbind_test,0.33205491304397583,0.9394333958625793,0.9387592077255249,/home/pgarcia/rbp_project/data/RBFOX2_K562_200.h5
